                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83545,                 1.5637,                0.91981,                0.96822,                0.95975,                0.99023,                0.87694,                0.49179,                 1.1599,                0.83009,               0.070265,              0.0033038,              0.0033038
                      1,                0.70391,                0.63776,                0.88364,                0.96664,                0.96811,                0.99265,                0.79364,                0.70205,                0.52841,                0.88757,               0.039937,              0.0063086,              0.0063086
                      2,                0.71313,                0.59909,                0.89453,                0.94676,                0.98547,                0.98614,                0.85804,                0.55503,                0.53613,                0.85546,              0.0092784,              0.0089834,              0.0089834
                      3,                0.69493,                0.55562,                0.89523,                0.95554,                0.98465,                0.98944,                0.87483,                0.51751,                0.46593,                0.84889,               0.008515,               0.008515,               0.008515
                      4,                0.64112,                0.49313,                0.88273,                0.97754,                0.99001,                0.99227,                0.86056,                0.54791,                0.40456,                 0.8595,               0.008515,               0.008515,               0.008515
                      5,                0.61339,                0.45477,                0.87793,                0.97599,                 0.9793,                0.99366,                0.89649,                0.45225,                0.34718,                 0.8273,                0.00802,                0.00802,                0.00802
                      6,                 0.5778,                0.42482,                0.86707,                0.98003,                0.98915,                0.99298,                0.89268,                0.48209,                0.33268,                0.83212,               0.007525,               0.007525,               0.007525
                      7,                0.55567,                0.40451,                0.86417,                0.97933,                 0.9908,                0.99424,                0.88073,                0.48902,                 0.3121,                0.83854,                0.00703,                0.00703,                0.00703
                      8,                0.53058,                0.38493,                0.85679,                0.98187,                0.99223,                0.99378,                0.91452,                0.40952,                0.29074,                0.82123,               0.006535,               0.006535,               0.006535
                      9,                0.51997,                0.37143,                0.85246,                0.98536,                0.98594,                0.99382,                0.89168,                 0.4601,                0.29457,                0.82768,                0.00604,                0.00604,                0.00604
                     10,                 0.4735,                0.34027,                0.84342,                0.96042,                0.96447,                0.98961,                0.83919,                0.62582,                0.36639,                0.86318,               0.005545,               0.005545,               0.005545
                     11,                0.46171,                0.33173,                0.83928,                 0.9773,                0.98368,                0.99401,                0.92728,                0.38359,                0.27096,                0.81388,                0.00505,                0.00505,                0.00505
                     12,                0.44331,                0.31671,                0.83572,                 0.9529,                 0.9774,                0.99338,                0.89299,                0.47072,                0.29948,                0.83046,               0.004555,               0.004555,               0.004555
                     13,                0.43192,                0.30547,                0.83276,                0.94194,                 0.9675,                0.99153,                0.90125,                0.45521,                0.30564,                0.82305,                0.00406,                0.00406,                0.00406
                     14,                0.41519,                0.29695,                0.82955,                0.98497,                0.98877,                0.99448,                0.89885,                0.45399,                0.26445,                0.82413,               0.003565,               0.003565,               0.003565
                     15,                0.40295,                 0.2826,                0.82762,                0.99115,                0.98396,                0.99447,                0.91139,                0.43983,                0.25012,                0.81864,                0.00307,                0.00307,                0.00307
                     16,                0.38693,                 0.2743,                0.82532,                0.98394,                0.99055,                0.99443,                 0.8977,                0.47067,                0.25217,                0.82475,               0.002575,               0.002575,               0.002575
                     17,                0.37199,                0.26012,                0.81955,                0.98775,                0.99173,                0.99467,                0.91651,                0.41458,                0.23049,                0.81405,                0.00208,                0.00208,                0.00208
                     18,                0.35459,                0.25058,                0.81544,                0.98413,                0.99566,                0.99459,                0.89214,                0.47185,                0.24081,                0.82353,               0.001585,               0.001585,               0.001585
                     19,                0.34141,                0.23843,                 0.8127,                0.98706,                0.99381,                0.99438,                0.91698,                0.40354,                0.21731,                 0.8124,                0.00109,                0.00109,                0.00109
