                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.51289,                0.34055,                0.87252,                0.98954,                0.99133,                0.99393,                0.86997,                0.53999,                0.26539,                0.83907,                0.00307,                0.00307,                0.00307
                     37,                0.50888,                0.33314,                0.87128,                0.98604,                0.99322,                0.99466,                0.89761,                0.49349,                0.25034,                0.82571,               0.002872,               0.002872,               0.002872
                     38,                0.50152,                0.33045,                0.86793,                0.98682,                 0.9913,                0.99464,                0.88274,                0.53119,                0.25581,                0.83364,               0.002674,               0.002674,               0.002674
                     39,                0.49676,                0.32717,                0.86669,                0.98705,                0.99316,                0.99461,                0.87589,                0.57213,                0.26316,                0.84376,               0.002476,               0.002476,               0.002476
                     40,                0.44167,                0.27665,                0.85143,                0.98613,                0.99423,                0.99419,                0.87364,                0.54746,                 0.2555,                0.84291,               0.002278,               0.002278,               0.002278
                     41,                0.43015,                0.27211,                0.84767,                0.98939,                  0.993,                0.99169,                0.87743,                0.53476,                0.24951,                0.83985,                0.00208,                0.00208,                0.00208
                     42,                0.42837,                0.27073,                 0.8507,                0.98698,                0.99669,                0.99461,                0.86926,                0.59737,                0.26167,                0.84847,               0.001882,               0.001882,               0.001882
                     43,                0.41589,                0.26357,                0.84437,                0.98498,                  0.994,                0.99457,                0.86111,                 0.6141,                0.26378,                0.85359,               0.001684,               0.001684,               0.001684
                     44,                0.41467,                0.26373,                0.84485,                0.98869,                  0.993,                0.99438,                0.86499,                0.58152,                0.25325,                 0.8456,               0.001486,               0.001486,               0.001486
                     45,                0.40772,                0.25959,                0.84179,                0.98989,                0.99178,                0.99443,                0.86864,                0.59256,                0.25206,                0.84598,               0.001288,               0.001288,               0.001288
                     46,                0.40257,                0.25368,                0.83973,                0.98932,                0.99531,                0.99479,                 0.8843,                0.52699,                0.23825,                0.83398,                0.00109,                0.00109,                0.00109
                     47,                 0.3978,                0.25169,                0.83957,                0.98875,                  0.995,                0.99461,                0.89286,                0.49579,                0.23227,                0.82967,               0.000892,               0.000892,               0.000892
                     48,                0.38931,                0.24574,                0.83751,                0.98759,                0.99491,                0.99452,                0.86765,                0.57801,                0.24838,                0.84515,               0.000694,               0.000694,               0.000694
                     49,                0.38659,                 0.2442,                0.83865,                0.98734,                0.99421,                0.99455,                0.88932,                0.51029,                0.23361,                0.83185,               0.000496,               0.000496,               0.000496
